mileage,make,model,fuel,gear,offerType,price,hp,year,mileage_bins
1060,Ford,Transit,Diesel,Manual,Used,30452.0,131.0,2019,under 50k
27500,BMW,320,Diesel,Automatic,Used,30675.0,190.0,2019,under 50k
23490,Audi,A6,Electric/Gasoline,Automatic,Used,59440.0,367.0,2020,under 50k
19000,Audi,Q5,Electric/Gasoline,Automatic,Demonstration,59850.0,367.0,2020,under 50k
31420,Audi,RS Q3,Gasoline,Automatic,Used,59985.0,400.0,2020,under 50k
23402,Audi,TT RS,Gasoline,Automatic,Used,64885.0,400.0,2020,under 50k
3850,Jaguar,F-Type,Gasoline,Automatic,Used,64900.0,381.0,2020,under 50k
11650,Audi,TT RS,Gasoline,Automatic,Used,65890.0,400.0,2020,under 50k
11100,Porsche,Macan,Gasoline,Automatic,Used,65900.0,245.0,2020,under 50k
25300,Volkswagen,Touareg,Diesel,Automatic,Used,66740.0,286.0,2020,under 50k
23490,Audi,SQ5,Diesel,Automatic,Used,66790.0,347.0,2020,under 50k
999,Audi,A7,Electric/Gasoline,Automatic,Used,66890.0,367.0,2020,under 50k
22500,Audi,SQ5,Diesel,Automatic,Demonstration,67840.0,347.0,2020,under 50k
8200,Audi,A7,Diesel,Automatic,Used,69890.0,286.0,2020,under 50k
11700,Audi,RS Q3,Gasoline,Automatic,Used,69890.0,400.0,2020,under 50k
18150,Audi,S5,Diesel,Automatic,Demonstration,69980.0,347.0,2020,under 50k
19950,Volkswagen,T6 California,Diesel,Automatic,Used,70980.0,150.0,2020,under 50k
16800,Audi,Q7,Diesel,Automatic,Used,81890.0,286.0,2020,under 50k
41100,Audi,Q8,Diesel,Automatic,Used,81890.0,286.0,2020,under 50k
29150,Audi,Q8,Gasoline,Automatic,Used,81890.0,340.0,2020,under 50k
28400,Audi,Q8,Diesel,Automatic,Used,83890.0,286.0,2020,under 50k
100,Fiat,Panda,Gasoline,Manual,Pre-registered,10600.0,69.0,2021,under 50k
15,Fiat,Panda,Electric/Gasoline,Manual,Pre-registered,10680.0,69.0,2021,under 50k
20,Toyota,Aygo,Gasoline,Manual,Pre-registered,10823.0,72.0,2021,under 50k
15,Fiat,Panda,Electric/Gasoline,Manual,Pre-registered,10980.0,69.0,2021,under 50k
15,Fiat,Panda,Electric/Gasoline,Manual,Pre-registered,10980.0,69.0,2021,under 50k
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,10997.0,72.0,2021,under 50k
9,Toyota,Aygo,Gasoline,Manual,Pre-registered,11490.0,72.0,2021,under 50k
9,Toyota,Aygo,Gasoline,Manual,Pre-registered,11490.0,72.0,2021,under 50k
9,Toyota,Aygo,Gasoline,Manual,Pre-registered,11490.0,72.0,2021,under 50k
100,Hyundai,i10,Gasoline,Manual,Pre-registered,11499.0,67.0,2021,under 50k
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11790.0,72.0,2021,under 50k
10,Kia,Picanto,Gasoline,Manual,Pre-registered,11950.0,84.0,2021,under 50k
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990.0,72.0,2021,under 50k
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990.0,72.0,2021,under 50k
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990.0,72.0,2021,under 50k
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990.0,72.0,2021,under 50k
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990.0,72.0,2021,under 50k
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990.0,72.0,2021,under 50k
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990.0,72.0,2021,under 50k
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990.0,72.0,2021,under 50k
132500,Volkswagen,Golf,Gasoline,Automatic,Used,7800.0,122.0,2011,under 150k
132500,Volkswagen,Golf,Gasoline,Automatic,Used,7800.0,122.0,2011,under 150k
69019,Peugeot,508,Gasoline,Manual,Used,7850.0,156.0,2011,under 100k
123600,Ford,Focus,Gasoline,Manual,Used,7885.0,150.0,2011,under 150k
95963,Opel,Astra,Gasoline,Manual,Used,7900.0,120.0,2011,under 100k
